SensorDataID,Timestamp,EquipmentID,TimeID,SensorID,LocationID,Temperature,Vibration,Pressure,Voltage,TempNorm,VibNorm,VoltNorm,PresNorm,HealthScore,PredictedFailure,ReactiveCost,PreventiveCost,CostAvoided
SD_0001,2024-05-08,EQT_008,109,SNS_006,LOC_02,94.37454896938424,1.0396990818900251,1.426054544069863,247.0272091756114,0.1570699633282166,0.8498582049704998,0.22674960000096117,0.6462758612584839,47.67,True,3703,612,3091
SD_0002,2024-02-27,EQT_018,152,SNS_003,LOC_05,73.43960233306815,3.996542190142244,2.3806321455823696,200.0894091492765,0.49148052935387965,0.6415851983371352,0.6668101751748876,0.3319367282624786,53.97,False,0,0,0
SD_0003,2024-05-01,EQT_012,17,SNS_006,LOC_05,60.423923210044926,4.856925575870974,2.429242585959789,177.71235285917112,0.6993903319605952,0.5809818358851322,0.8766039928697561,0.31592947682626116,62.260000000000005,False,0,0,0
SD_0004,2024-01-01,EQT_015,133,SNS_010,LOC_06,77.71037800762126,3.7133512084706894,2.4178040125599853,200.35670776813092,0.4232600301328099,0.6615324985640493,0.6643041441318844,0.3196961598486874,52.22,False,0,0,0
SD_0005,2024-08-26,EQT_009,148,SNS_010,LOC_04,68.30995377120183,3.456909826097026,1.9110940077683056,236.9562326179976,0.5734204888334373,0.6795956205413766,0.3211690174858055,0.48655402801387865,53.74,False,0,0,0
SD_0006,2024-10-16,EQT_013,277,SNS_005,LOC_05,65.42494716684459,2.4449283557340906,1.0025827696995129,193.0938743939737,0.6195049956779531,0.7508771920598349,0.7323961005131128,0.7857236653897982,71.47,False,0,0,0
SD_0007,2024-04-05,EQT_015,232,SNS_002,LOC_03,75.9992517221724,5.3918442967085545,1.485737507160414,242.4588083631908,0.45059321228029664,0.5433034315144756,0.2695801776592857,0.6266224660365654,47.74,True,2495,367,2128
SD_0008,2024-05-05,EQT_010,314,SNS_009,LOC_02,83.6575273300959,8.738538566432482,1.562246077176419,238.2221342164288,0.328261480305226,0.30757023488570207,0.3093006856678109,0.601428456112711,37.29,True,2469,1084,1385
SD_0009,2024-04-27,EQT_016,228,SNS_008,LOC_05,66.64005158403717,7.557247776102296,2.314384289545356,222.86554363094135,0.6000951656462509,0.3907775528268286,0.4532748404421839,0.3537519202348477,45.87,True,3913,636,3277
SD_0010,2024-02-17,EQT_007,139,SNS_003,LOC_03,87.74388087331718,6.30725377597393,1.821314451791702,210.6045203447946,0.2629869025807677,0.4788241617097352,0.5682268185173258,0.5161181281370494,43.94,True,2881,1089,1792
SD_0011,2024-03-29,EQT_017,211,SNS_008,LOC_03,65.10386040997184,6.350818237862082,2.845200254065209,220.82890938725717,0.6246339700180594,0.4757555844712312,0.47236909786779246,0.17895604213836924,46.04,True,2896,1004,1892
SD_0012,2024-08-24,EQT_007,28,SNS_009,LOC_03,72.56096778674537,4.73471371148175,2.733819168930379,229.16631028210156,0.50551565832124,0.5895901493839362,0.3942026428745391,0.21563345178841958,45.050000000000004,True,4610,753,3857
SD_0013,2024-09-28,EQT_014,51,SNS_003,LOC_06,78.86307881780868,1.3909736414259193,2.8368492231104314,226.8771469708795,0.40484702258664645,0.8251152592037232,0.41566446091539827,0.18170600801415374,48.85,True,3925,821,3104
SD_0014,2024-07-07,EQT_015,261,SNS_003,LOC_06,71.12100791315942,4.2611366210786015,1.541743503178389,246.0948905990516,0.5285172835341169,0.622947794980914,0.23549045809009295,0.6081798834712784,51.42,False,0,0,0
SD_0015,2024-07-10,EQT_007,261,SNS_002,LOC_03,57.23997661061463,3.0614446253356995,2.2454456060707857,216.09846325260256,0.7502500452910292,0.7074512501321241,0.5167189149805979,0.37645319246137665,61.59,False,0,0,0
SD_0016,2024-03-09,EQT_009,350,SNS_008,LOC_06,84.27407491788804,5.309393498690647,1.761237955531065,200.48735539565504,0.3184128749375073,0.5491110699226766,0.6630792705740883,0.5359011124833031,50.01,False,0,0,0
SD_0017,2024-10-04,EQT_019,352,SNS_010,LOC_04,68.76535659643973,7.466429407877509,2.163935909116645,197.84078939301813,0.566145977022965,0.39717458300909375,0.6878918812354897,0.4032940563479111,50.72,False,0,0,0
SD_0018,2024-12-14,EQT_016,8,SNS_001,LOC_03,82.44898449393693,8.94681918049692,1.59719312862802,194.84063097911277,0.347566496980315,0.2928994430558693,0.7160195616230525,0.5899205118275557,45.33,True,3865,671,3194
SD_0019,2024-09-03,EQT_008,320,SNS_008,LOC_04,62.35855864972338,5.129242062361064,2.613078183775728,222.9441838380341,0.6684868601880002,0.561800509274046,0.45253755717058586,0.25539304444014305,51.07000000000001,False,0,0,0
SD_0020,2024-03-16,EQT_018,138,SNS_007,LOC_04,64.06563417903588,1.6656873256452889,1.6065342248980572,216.48446948916316,0.6412183839925238,0.8057650796774525,0.5130999527287182,0.5868445208362489,65.41,False,0,0,0
SD_0021,2024-06-02,EQT_018,38,SNS_007,LOC_03,83.62433409555356,5.125352100323957,1.0263804876644511,220.4898190434141,0.3287917022610952,0.5620745089620569,0.4755482049342461,0.77788715841485,51.790000000000006,False,0,0,0
SD_0022,2024-05-23,EQT_020,111,SNS_003,LOC_02,78.40508092742023,5.179712325826764,3.016890407871581,211.94410688790725,0.41216298743833973,0.5582455037723193,0.5556676609870056,0.1224190628441419,42.67,True,4350,885,3465
SD_0023,2024-03-26,EQT_007,220,SNS_001,LOC_03,70.61414289315323,6.3576877410523975,2.221248339783965,203.34749711915984,0.5366138419435299,0.47527171298020365,0.6362643024414043,0.38442126932953374,50.77,False,0,0,0
SD_0024,2024-07-03,EQT_003,337,SNS_004,LOC_03,78.55031598170838,4.961608899198339,1.465436617790936,229.2150382694118,0.4098430323147371,0.5736081911919411,0.39374579858037156,0.633307479338091,50.03999999999999,False,0,0,0
SD_0025,2024-10-11,EQT_018,223,SNS_009,LOC_06,65.45960864455643,5.13303654792136,1.9188644424654315,183.05404150230623,0.6189513203052731,0.5615332347223242,0.8265235337221352,0.48399525049612996,61.62,False,0,0,0
SD_0026,2024-08-07,EQT_010,136,SNS_005,LOC_03,76.1025911748891,3.735878484225882,1.7115714526415575,207.976066483694,0.44894248894786526,0.6599457307576349,0.5928696206359825,0.5522561216857967,56.169999999999995,False,0,0,0
SD_0027,2024-03-09,EQT_007,256,SNS_001,LOC_02,76.28553923390065,4.376196033782242,2.00287072340222,231.79735239952583,0.4460201139817299,0.6148432831931981,0.3695355748216916,0.4563322700594965,48.339999999999996,True,2920,1173,1747
SD_0028,2024-02-16,EQT_017,360,SNS_005,LOC_06,71.26218394808971,6.026464853630365,2.40139041795741,206.48742359945444,0.526262166357539,0.4986022665819968,0.6068262407481201,0.3251011003045983,49.38,True,2450,529,1921
